Id_vente,Id_bien,Date,Valeur
1,1,2020-01-02 00:00:00,165000
2,2,2020-01-27 00:00:00,123100
3,3,2020-02-25 00:00:00,442100
4,4,2020-03-16 00:00:00,182000
5,5,2020-01-28 00:00:00,358000
6,6,2020-02-03 00:00:00,67000
7,7,2020-02-03 00:00:00,140500
8,8,2020-02-07 00:00:00,164665
9,9,2020-02-14 00:00:00,128460
10,10,2020-02-18 00:00:00,129258
11,11,2020-02-28 00:00:00,74000
12,12,2020-02-28 00:00:00,210000
13,13,2020-03-16 00:00:00,147500
14,14,2020-05-07 00:00:00,188000
15,15,2020-05-20 00:00:00,170000
16,16,2020-01-02 00:00:00,355680
17,17,2020-01-03 00:00:00,181875
18,18,2020-01-07 00:00:00,133950
19,19,2020-01-09 00:00:00,309000
20,20,2020-01-09 00:00:00,200750
21,21,2020-01-10 00:00:00,169600
22,22,2020-01-15 00:00:00,291000
23,23,2020-01-15 00:00:00,1350000
24,24,2020-01-15 00:00:00,535000
25,25,2020-01-16 00:00:00,312000
26,26,2020-01-17 00:00:00,198000
27,27,2020-01-20 00:00:00,196100
28,28,2020-01-20 00:00:00,401000
29,29,2020-01-20 00:00:00,573000
30,30,2020-01-21 00:00:00,550000
31,31,2020-01-22 00:00:00,251160
32,32,2020-01-23 00:00:00,312200
33,33,2020-01-24 00:00:00,315300
34,34,2020-01-27 00:00:00,415000
35,35,2020-01-27 00:00:00,168700
36,36,2020-01-29 00:00:00,140075
37,37,2020-01-29 00:00:00,274800
38,38,2020-01-29 00:00:00,243522
39,39,2020-01-30 00:00:00,347000
40,40,2020-01-31 00:00:00,182000
41,41,2020-01-31 00:00:00,211687
42,42,2020-02-06 00:00:00,240624
43,43,2020-02-06 00:00:00,194500
44,44,2020-02-06 00:00:00,181420
45,45,2020-02-06 00:00:00,361500
46,46,2020-02-07 00:00:00,296500
47,47,2020-02-07 00:00:00,315250
48,48,2020-02-07 00:00:00,210200
49,49,2020-02-10 00:00:00,425000
50,50,2020-02-11 00:00:00,323000
51,51,2020-02-11 00:00:00,302500
52,52,2020-02-12 00:00:00,189150
53,53,2020-02-12 00:00:00,169000
54,54,2020-02-13 00:00:00,130000
55,55,2020-02-14 00:00:00,650000
56,56,2020-02-14 00:00:00,470315
57,57,2020-02-14 00:00:00,187140
58,58,2020-02-17 00:00:00,340400
59,59,2020-02-19 00:00:00,228000
60,60,2020-02-19 00:00:00,273600
61,61,2020-02-20 00:00:00,105000
62,62,2020-02-25 00:00:00,212253
63,63,2020-02-27 00:00:00,188000
64,64,2020-02-27 00:00:00,134000
65,65,2020-02-27 00:00:00,890000
66,66,2020-02-28 00:00:00,212000
67,67,2020-02-28 00:00:00,236030
68,68,2020-02-28 00:00:00,175800
69,69,2020-02-28 00:00:00,370000
70,70,2020-03-02 00:00:00,192650
71,71,2020-03-03 00:00:00,133250
72,72,2020-03-03 00:00:00,194000
73,73,2020-03-04 00:00:00,160000
74,74,2020-03-04 00:00:00,413000
75,75,2020-03-05 00:00:00,192000
76,76,2020-03-06 00:00:00,75000
77,77,2020-03-06 00:00:00,311930
